dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,7B 40Pred untrained,82,0.8541666666666666,0.0520277775138717,0.0319807402583331,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,83,0.8645833333333334,0.053565549670205,0.0318007321503918,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,84,0.875,0.0508483595404776,0.0314039179436359,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,85,0.8854166666666666,0.0520240076002181,0.0310623890650727,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,86,0.8958333333333334,0.053172947470757,0.0312412931333983,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,87,0.90625,0.0532694124860597,0.0306961502769164,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,88,0.9166666666666666,0.0535723403993256,0.0311426033930086,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,89,0.9270833333333334,0.0530209546962398,0.0310013696532979,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,90,0.9375,0.053812202478741,0.0313720836092596,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,91,0.9479166666666666,0.0549912220292815,0.0312120492747522,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,92,0.9583333333333334,0.0561025868088877,0.0314340606761769,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,93,0.96875,0.0546297426708622,0.0316835219939941,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,94,0.9791666666666666,0.0559233470189809,0.0323355298327851,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,95,0.9895833333333334,0.0550818440886409,0.0323966810713019,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,96,1.0,0.0558424760392713,0.0320289087842778,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,0,0.0,0.0214303172757486,0.032289576094498,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,1,0.0104166666666666,0.0746955335926679,0.026501897280733,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,2,0.0208333333333333,0.0717571306100171,0.0297951654744043,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,3,0.03125,0.0745258774388987,0.0255848178120805,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,4,0.0416666666666666,0.0681455475217808,0.0238927977940132,8,mean participant-level r_cv_norm in language fROIs
